A2,A3,p2,p3,max
0.50000,0.50000,0.00000,0.00000,1.57099
0.50000,0.50000,0.00000,0.20000,1.72058
0.50000,0.50000,0.00000,0.40000,1.08802
0.50000,0.50000,0.00000,0.60000,1.78994
0.50000,0.50000,0.00000,0.80000,1.40603
0.50000,0.50000,0.20000,0.00000,1.53894
0.50000,0.50000,0.20000,0.20000,1.11137
0.50000,0.50000,0.20000,0.40000,1.60667
0.50000,0.50000,0.20000,0.60000,1.20159
0.50000,0.50000,0.20000,0.80000,1.43154
0.50000,0.50000,0.40000,0.00000,1.25755
0.50000,0.50000,0.40000,0.20000,1.98194
0.50000,0.50000,0.40000,0.40000,1.53979
0.50000,0.50000,0.40000,0.60000,1.75112
0.50000,0.50000,0.40000,0.80000,1.90448
0.50000,0.50000,0.60000,0.00000,1.37457
0.50000,0.50000,0.60000,0.20000,1.13286
0.50000,0.50000,0.60000,0.40000,1.19387
0.50000,0.50000,0.60000,0.60000,1.32482
0.50000,0.50000,0.60000,0.80000,0.98242
0.50000,0.50000,0.80000,0.00000,1.47024
0.50000,0.50000,0.80000,0.20000,1.69885
0.50000,0.50000,0.80000,0.40000,1.84021
0.50000,0.50000,0.80000,0.60000,1.24624
0.50000,0.50000,0.80000,0.80000,1.91706
0.50000,0.75000,0.00000,0.00000,1.78673
0.50000,0.75000,0.00000,0.20000,1.96047
0.50000,0.75000,0.00000,0.40000,1.22384
0.50000,0.75000,0.00000,0.60000,2.03866
0.50000,0.75000,0.00000,0.80000,1.61467
0.50000,0.75000,0.20000,0.00000,1.77874
0.50000,0.75000,0.20000,0.20000,1.33676
0.50000,0.75000,0.20000,0.40000,1.85571
0.50000,0.75000,0.20000,0.60000,1.39156
0.50000,0.75000,0.20000,0.80000,1.66435
0.50000,0.75000,0.40000,0.00000,1.39232
0.50000,0.75000,0.40000,0.20000,2.23043
0.50000,0.75000,0.40000,0.40000,1.72368
0.50000,0.75000,0.40000,0.60000,1.96379
0.50000,0.75000,0.40000,0.80000,2.14128
0.50000,0.75000,0.60000,0.00000,1.62380
0.50000,0.75000,0.60000,0.20000,1.37352
0.50000,0.75000,0.60000,0.40000,1.42032
0.50000,0.75000,0.60000,0.60000,1.57019
0.50000,0.75000,0.60000,0.80000,1.23182
0.50000,0.75000,0.80000,0.00000,1.64800
0.50000,0.75000,0.80000,0.20000,1.91755
0.50000,0.75000,0.80000,0.40000,2.07702
0.50000,0.75000,0.80000,0.60000,1.41668
0.50000,0.75000,0.80000,0.80000,2.16566
0.50000,1.00000,0.00000,0.00000,2.01603
